"expression","special_point","symbolic_result","interpretation","memory_centric_implication"
"net_value","zero_reuse","BytesSaved*CapacityPressure - CorrectnessLossCost*CorrectnessSensitive*LossProbability - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost","Only capacity pressure can justify compression if reuse-driven transfer and queue relief vanish.","rules out reuse overcounting"
"net_value","perfect_reuse","BytesSaved*CapacityPressure - CorrectnessLossCost*CorrectnessSensitive*LossProbability - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost + QueueRelief - ReconstructionCost + TransferAvoided","Perfect reuse leaves the boundary governed by byte, transfer, queue, and correctness terms.","does not override safety gate"
"net_value","zero_correctness_sensitivity","BytesSaved*CapacityPressure - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost + QueueRelief - ReconstructionCost + TransferAvoided","Correctness loss term vanishes for correctness-insensitive objects.","scratch-like objects may use lossy summaries"
"net_value","infinite_correctness_loss","-Infinity unless Valid_i_s is false before scoring","Lossy correctness-sensitive state is rejected as invalid, not ranked by score.","hard safety gate"
"net_value","zero_provenance_risk","BytesSaved*CapacityPressure - CorrectnessLossCost*CorrectnessSensitive*LossProbability - MetadataCost + QueueRelief - ReconstructionCost + TransferAvoided","Provenance penalty collapses when pointer and validation are preserved.","summary-plus-pointer can be viable"
"validity","missing_provenance_pointer","False","Lossy strategy is invalid without provenance pointer or validation path.","protects verifier/trajectory/tool/durable state"
"net_value","zero_reconstruction_cost","BytesSaved*CapacityPressure - CorrectnessLossCost*CorrectnessSensitive*LossProbability - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost + QueueRelief + TransferAvoided","Reconstruction penalty collapses.","lossless/offload become more attractive if restore is cheap"
"net_value","infinite_reconstruction_cost","-Infinity","Any strategy needing reconstruction is dominated when reconstruction cost diverges.","keep-hot or exact hot state remains"
"net_value","zero_capacity_pressure","-(CorrectnessLossCost*CorrectnessSensitive*LossProbability) - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost + QueueRelief - ReconstructionCost + TransferAvoided","Byte savings alone vanish; transfer or queue relief must justify the strategy.","rules out capacity-only claims under no pressure"
"net_value","saturated_queue_relief","BytesSaved*CapacityPressure - CorrectnessLossCost*CorrectnessSensitive*LossProbability - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost + QueueThreshold - ReconstructionCost + TransferAvoided","Queue relief can offset metadata/reconstruction only up to the reversal threshold.","ties compression to M-QUEUE-1"
"net_value","queue_relief_zero","BytesSaved*CapacityPressure - CorrectnessLossCost*CorrectnessSensitive*LossProbability - MetadataCost - ProvenanceFailProbability*ProvenanceLossCost - ReconstructionCost + TransferAvoided","Compression becomes a local byte/transfer tradeoff if it does not affect queues.","scopes down disconnected compression claims"
