scenario_id,description,source_type,total_requests,simulated_days,raw_requests_per_day,effective_fast_path_requests_per_day,fast_path_fraction,fast_path_utilization,fallback_frequency,fail_safe_fraction,near_threshold_frequency,update_interval_days,audit_control_scale,utilization,feature_extraction_us,audit_logging_us,software_memory_savings,calibrated_winner,viability_classification,classification_reason
high_volume_stable_moderation,"Large stable moderation path with steady reuse, bounded control overhead, and monthly-or-slower policy updates.",modeled,6445613,7,920801.857,319870.85,0.992523,0.347383,0.007477,0.0,0.002999,90,low,0.35,1.5,8.8,0.0,hybrid_safety_filter,preserved,"high effective reuse, slow updates, and bounded fallback preserve the claim"
bursty_consumer_traffic,"Consumer traffic with burst windows, moderate near-threshold pressure, and lower average utilization.",modeled,5277157,7,753879.571,323152.264,0.779368,0.428652,0.220632,0.0,0.120007,30,mid,0.55,1.8,9.5,0.35,programmable_accelerator,weakened,workload keeps some fast-path reuse but leaves baseline or overhead pressure
low_volume_enterprise_deployment,Small enterprise tenant with slow updates but too little volume to amortize fixed/control costs.,modeled,1603,14,114.5,28.393,0.99189,0.247973,0.00811,0.0,0.004991,90,mid,0.25,2.0,8.8,0.2,hybrid_safety_filter,weakened,workload keeps some fast-path reuse but leaves baseline or overhead pressure
high_near_threshold_adversarial,Adversarial or ambiguous requests cluster near the threshold and force frequent fallback.,modeled,715218,7,102174.0,19303.6,0.269898,0.188929,0.730102,0.0,0.700072,30,mid,0.7,1.8,9.0,0.2,programmable_accelerator,speculative,calibrated baseline usually wins under this workload shape
frequent_policy_update_regime,High-volume deployment where weekly policy churn strands fixed-path amortization.,inferred,1367395,14,97671.071,50646.004,0.797748,0.518536,0.202252,0.0,0.080002,7,mid,0.65,1.5,8.8,0.2,programmable_accelerator,falsified,weekly-or-faster policy updates strand fixed-path amortization
audit_heavy_regulated_deployment,Regulated path where audit logging and control overhead dominate the fixed classifier surface.,local_measured,697070,7,99581.429,53263.6,0.822884,0.534875,0.177116,0.0,0.080019,90,high,0.65,2.5,18.0,0.2,programmable_accelerator,weakened,workload keeps some fast-path reuse but leaves baseline or overhead pressure
fallback_degraded_outage_regime,"Fallback service is degraded, so invalid physicalized outputs increasingly become fail-safe events.",modeled,1596098,7,228014.0,74352.7,0.46584,0.326088,0.53416,0.454035,0.249992,30,mid,0.7,1.8,9.0,0.2,programmable_accelerator,speculative,fallback degradation creates material fail-safe traffic
multi_tenant_underutilized_deployment,Many small tenants fragment demand and strand the fixed substrate between bursts.,inferred,1145100,14,81792.857,7823.64,0.797099,0.095652,0.202901,0.0,0.100005,90,mid,0.12,2.0,9.0,0.35,programmable_accelerator,falsified,multi-tenant underutilization strands the fixed substrate
zero_invocation_control,Explicit null case: no requests means no fixed-path amortization.,modeled,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,low,0.0,1.5,8.8,0.2,software_optimized,falsified,zero invocation volume gives no amortization
fallback_all_control,Explicit null case: every request routes away from the physicalized fast path.,modeled,661210,7,94458.571,0.0,0.0,0.0,1.0,0.0,0.0,90,mid,0.7,1.5,8.8,0.2,programmable_accelerator,falsified,effective fast-path volume is near zero
