deferred_constant,workload_class,synthetic_dag_signal,synthetic_ablation_result,measurement_implication,evidence_status,scope_note
DC-005,single-turn chat control,"max_dag_width=0; verifier_results=0","remains Option A under all branch/verifier/durable ablations","production controls should remain Option A",synthetic_mechanism_probe,trajectory_reuse_only
DC-005,batch/offline control,"max_dag_width=0; verifier_results=0","remains Option A","production batch traces should not create spurious trajectory value",synthetic_mechanism_probe,trajectory_reuse_only
DC-005,RAG,"max_dag_width=0; verifier_results=0","hiding branch/verifier/durable fields does not change Option B","RAG is not a DC-005 support case unless it has real trajectory dependencies",synthetic_mechanism_probe,trajectory_reuse_only
DC-005,code-agent loop,"max_dag_width=2; verifier_results=2","hiding branch/verifier/durable fields collapses C to B","production code-agent traces should reproduce or falsify this collapse",synthetic_mechanism_probe,trajectory_reuse_only
DC-005,verification-heavy,"max_dag_width=3; verifier_results=4","hiding branch/verifier/durable fields collapses C to B","verifier reuse is the critical measured variable",synthetic_mechanism_probe,trajectory_reuse_only
DC-005,multi-agent branch/merge,"max_dag_width=4; verifier_results=3","hiding branch/verifier/durable fields collapses C to B","branch survival and durable dependency reuse should be strongest here",synthetic_mechanism_probe,trajectory_reuse_only
DC-004,RAG,"semantic_false_positive=low; stale_hits=blocked; tenant_salt_match=true","Option B remains supported when V_semantic_safe is positive","valid semantic retained value can support RAG object reuse",synthetic_mechanism_probe,semantic_cache_correctness_risk
DC-004,RAG,"semantic_false_positive=high; stale_hits=pass; untrusted_provenance=pass","Option B downgrades or forbids semantic reuse","raw semantic hit rate is insufficient evidence",synthetic_mechanism_probe,semantic_cache_poisoning_risk
DC-004,RAG,"recovery_latency_ms>=exact_recompute_ms","semantic-cache credit is disabled for affected entry class","recovery cost can erase semantic-cache value",synthetic_mechanism_probe,semantic_cache_recovery_risk
DC-003,code-agent loop,"durable_p95_below_margin; dependency_width=1; pointer_valid=true","Option C durable replay remains supported","tail-safe replay can preserve durable retained value",synthetic_mechanism_probe,durable_replay_tail_risk
DC-003,multi-agent branch/merge,"durable_p99_above_deadline; dependency_width=wide","Option C downgrades to B or local checkpointing","fan-in and p99 tails can dominate durable replay value",synthetic_mechanism_probe,durable_dependency_tail_risk
DC-003,verification-heavy,"pointer_valid=false; retention_hold_state=inactive; durability_horizon=expired","durable replay is forbidden or recomputed","pointer and retention failures block replay independent of median latency",synthetic_mechanism_probe,durable_retention_risk
DC-006,RAG,"valid provenance; fresh source_version; tenant_scope/cache_salt match; low validation_queue_wait","Option B remains supported when validation overhead stays below object retained-value margin","provenance overhead should be substituted for synthetic security overhead in future measured runs",synthetic_mechanism_probe,provenance_object_overhead
DC-006,RAG,"cache_salt mismatch or source_version stale; unsafe_pass_rate=0","reuse is forbidden or recomputed before retained value is credited","a fast invalid reuse path is not counted as memory-centric value",synthetic_mechanism_probe,provenance_safety_gate
DC-006,code-agent loop,"authorized actor; valid lineage; verifier_evidence_hash match; validation p95 below margin","Option C remains supported after trajectory validation overhead","lineage and verifier validation can preserve C only when overhead and unsafe-pass rate are bounded",synthetic_mechanism_probe,provenance_trajectory_overhead
DC-006,verification-heavy,"verifier_evidence_hash mismatch or missing; unsafe_pass_rate=0","verifier-state reuse is rejected or rerun","verifier evidence binding is a correctness gate before retained value",synthetic_mechanism_probe,provenance_verifier_overhead
DC-006,multi-agent branch/merge,"expired durability_horizon; retention_hold_state inactive; unauthorized replay","durable replay is forbidden and Option C value is recomputed without that object","retention and replay authorization can collapse durable contribution independent of storage latency",synthetic_mechanism_probe,provenance_retention_overhead
